code,n_rows_total,n_turbines_seen,first_seen,last_seen,years_seen,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,median_duration_s,share_rows_with_TimeOff,is_documented,description,stopping
3224,91,21,2018-04-12 14:54:15,2025-07-24 11:28:58,2018-2025,0,0,19,17,28,3,12,7,3,2,0,16.0,1.0,0,,
3225,16,8,2018-04-25 11:33:06,2023-04-24 12:13:34,2018;2019;2020;2021;2023,0,0,2,2,8,2,0,2,0,0,0,42.5,1.0,0,,
3232,16,7,2018-04-29 15:45:36,2022-09-21 08:04:14,2018;2019;2020;2022,0,0,8,1,1,0,6,0,0,0,0,90.0,1.0,0,,
3235,32,5,2024-03-09 00:23:47,2026-03-30 20:25:35,2024-2026,0,0,0,0,0,0,0,0,10,14,8,911440.0,0.9688,0,,
3236,6,1,2024-04-19 18:43:35,2025-02-19 18:43:52,2024-2025,0,0,0,0,0,0,0,0,4,2,0,1559.0,1.0,0,,
3404,88,11,2016-06-30 13:25:01,2026-02-18 12:46:36,2016;2017;2018;2019;2020;2021;2022;2026,2,14,9,7,10,37,8,0,0,0,1,152.0,0.9886,0,,
3405,198,21,2016-03-10 13:21:04,2024-10-07 12:02:18,2016-2024,23,18,43,18,13,26,46,2,9,0,0,490.0,1.0,0,,
3406,213,21,2016-03-10 13:21:04,2024-10-07 11:00:39,2016-2024,32,12,35,34,25,23,47,2,3,0,0,414.0,1.0,0,,
3407,222,21,2016-03-10 13:21:04,2024-10-07 12:02:49,2016;2017;2018;2019;2020;2021;2022;2024,28,26,31,26,15,40,47,0,9,0,0,481.0,1.0,0,,
3411,109,21,2016-01-07 18:35:50,2026-04-18 08:56:19,2016-2026,49,3,3,3,8,9,11,4,6,11,2,20536.0,0.9817,0,,
3412,86,20,2016-01-05 22:00:43,2026-04-06 07:11:22,2016-2026,19,4,2,4,11,8,14,8,4,8,4,16282.0,0.9884,0,,
3413,97,20,2016-01-05 22:05:40,2026-02-17 06:08:24,2016-2026,28,2,3,5,12,6,17,2,9,8,5,14466.5,0.9897,0,,
