event_id,farm,turbine,start,duration_h,lost_energy_mwh,planned_charge_mwh_p50,planned_charge_mwh_p75,recoverable_mwh_p50,recoverable_mwh_p75,clipped_p50,clipped_p75,zero_energy
841,kelmarsh,K05,2023-02-15 11:33:02,0.029722,0.0,0.0,0.0,0.0,0.0,False,False,True
842,kelmarsh,K05,2023-02-15 12:35:18,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
843,kelmarsh,K05,2023-02-15 17:42:32,0.058611,0.0,0.0,0.0,0.0,0.0,False,False,True
844,kelmarsh,K05,2023-02-15 18:54:52,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
845,kelmarsh,K05,2023-02-16 12:54:25,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
846,kelmarsh,K05,2023-02-16 13:56:27,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
847,kelmarsh,K05,2023-02-16 14:57:42,0.056944,0.087528,0.75085,1.924803,0.0,0.0,True,True,False
848,kelmarsh,K05,2023-02-17 13:00:14,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
849,kelmarsh,K05,2023-02-17 16:05:12,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
850,kelmarsh,K05,2023-02-17 17:07:03,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
851,kelmarsh,K05,2023-02-18 15:19:49,0.030278,0.047292,0.351189,0.900271,0.0,0.0,True,True,False
852,kelmarsh,K05,2023-02-18 21:28:56,0.030278,0.081268,0.663697,1.701387,0.0,0.0,True,True,False
853,kelmarsh,K05,2023-02-19 09:08:24,0.031111,0.009905,0.144957,0.371598,0.0,0.0,True,True,False
854,kelmarsh,K05,2023-02-19 11:38:02,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
855,kelmarsh,K05,2023-02-19 13:25:09,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
856,kelmarsh,K05,2023-02-19 16:31:37,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
857,kelmarsh,K05,2023-02-20 13:15:38,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
858,kelmarsh,K05,2023-02-20 18:26:33,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
859,kelmarsh,K05,2023-02-20 19:27:57,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
860,kelmarsh,K05,2023-02-20 22:54:20,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
861,kelmarsh,K05,2023-02-20 23:55:43,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
862,kelmarsh,K05,2023-02-21 04:04:04,0.033889,0.0,0.0,0.0,0.0,0.0,False,False,True
863,kelmarsh,K05,2023-02-21 05:06:34,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
864,kelmarsh,K05,2023-02-21 06:08:38,0.030278,0.007882,0.067212,0.172299,0.0,0.0,True,True,False
865,kelmarsh,K05,2023-02-21 10:26:24,0.285,0.0,0.0,0.0,0.0,0.0,False,False,True
866,kelmarsh,K05,2023-02-21 13:05:13,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
867,kelmarsh,K05,2023-02-21 14:06:24,0.250278,0.036945,0.120136,0.307968,0.0,0.0,True,True,False
