rule,weight,T_act_h,actionable_unacted,short_lead,unwarned,ci_lo,ci_hi,is_reference,ref_label,beyond_lookback,reps,seed,n_turbines,n_events
same,count,2.9769174812,0.17469736529788749,0.05767861381438405,0.7676240208877285,0.09822040451400686,0.2500096942167072,False,,False,2000,20260903,20,4213
same,count,3.3815002539,0.17279848089247568,0.059577498219795855,0.7676240208877285,0.0954877298401864,0.24773679138362614,False,,False,2000,20260903,20,4213
same,count,3.841068501,0.17161167813909328,0.060764300973178254,0.7676240208877285,0.09515758427975848,0.2455841331908887,False,,False,2000,20260903,20,4213
same,count,4.3630951121,0.1692380726323285,0.06313790647994302,0.7676240208877285,0.09281011671906991,0.24388875254642567,False,,False,2000,20260903,20,4213
same,count,4.956068592,0.16852599098029908,0.06384998813197246,0.7676240208877285,0.09249811713951447,0.2431427533698247,False,,False,2000,20260903,20,4213
same,count,5.6296310892,0.16638974602421078,0.06598623308806076,0.7676240208877285,0.09099894067922625,0.2405205873259172,False,,False,2000,20260903,20,4213
same,count,6.0,0.16567766437218134,0.06669831474009019,0.7676240208877285,0.09056075818558952,0.24024276682055404,True,T_act primary,False,2000,20260903,20,4213
same,count,6.3947351842,0.1649655827201519,0.06741039639211963,0.7676240208877285,0.09026989078139941,0.23955626779357733,False,,False,2000,20260903,20,4213
same,count,7.2638219855,0.16354141941609304,0.0688345596961785,0.7676240208877285,0.08844613219173236,0.23805837414107894,False,,False,2000,20260903,20,4213
same,count,8.2510234306,0.16140517446000474,0.0709708046522668,0.7676240208877285,0.08690609472937579,0.23540181854191136,False,,False,2000,20260903,20,4213
same,count,9.3723920806,0.15950629005459294,0.0728696890576786,0.7676240208877285,0.08531181963213214,0.23402528461769875,False,,False,2000,20260903,20,4213
same,count,10.646162146,0.15475907904106337,0.07761690007120817,0.7676240208877285,0.08174162984965948,0.22904753151352414,False,,False,2000,20260903,20,4213
same,count,12.0930459871,0.15262283408497507,0.07975314502729647,0.7676240208877285,0.08025758789115037,0.2270961355957263,False,,False,2000,20260903,20,4213
same,count,13.7365709106,0.1514360313315927,0.08093994778067884,0.7676240208877285,0.07997865747227795,0.22469634767836916,False,,False,2000,20260903,20,4213
same,count,15.6034617403,0.14882506527415143,0.0835509138381201,0.7676240208877285,0.0775078422053232,0.22171452327161456,False,,False,2000,20260903,20,4213
same,count,17.3964992039,0.14763826252076906,0.08473771659150248,0.7676240208877285,0.07588975564138595,0.22074578614214538,True,duration p25 (E),False,2000,20260903,20,4213
same,count,17.7240753799,0.1471635414194161,0.08521243769285544,0.7676240208877285,0.07572485426847719,0.22005484149233215,False,,False,2000,20260903,20,4213
same,count,20.1328944372,0.14573937811535723,0.08663660099691431,0.7676240208877285,0.07378195482471656,0.21837064030132938,False,,False,2000,20260903,20,4213
same,count,22.8690879345,0.14360313315926893,0.08877284595300261,0.7676240208877285,0.07260708826928222,0.21589710274809323,False,,False,2000,20260903,20,4213
same,count,25.9771482231,0.13885592214573939,0.09352005696653215,0.7676240208877285,0.07029208661993061,0.20832548923956004,False,,False,2000,20260903,20,4213
same,count,29.5076144591,0.13315926892950392,0.09921671018276762,0.7676240208877285,0.06469069063307742,0.2004479134879462,False,,False,2000,20260903,20,4213
same,count,33.5178944044,0.1279373368146214,0.10443864229765012,0.7676240208877285,0.06250609351723145,0.19219338705053643,False,,False,2000,20260903,20,4213
same,count,38.0731979151,0.11583194873012105,0.11654403038215048,0.7676240208877285,0.054374641934248576,0.17737863184087774,False,,False,2000,20260903,20,4213
same,count,43.2475972981,0.10325183954426774,0.12912413956800378,0.7676240208877285,0.04593554993218454,0.16008001004845443,False,,False,2000,20260903,20,4213
same,count,49.1252317767,0.09185853311179681,0.14051744600047472,0.7676240208877285,0.039338906341231994,0.14603912393739943,False,,False,2000,20260903,20,4213
same,count,52.9437801474,0.08236411108473772,0.1500118680275338,0.7676240208877285,0.03416238209609525,0.13450739458779107,True,duration p50 (E),False,2000,20260903,20,4213
same,count,55.801675651,0.07476857346309043,0.1576074056491811,0.7676240208877285,0.029153291013843473,0.12335123371315294,False,,False,2000,20260903,20,4213
same,count,63.3854924007,0.05625445051032518,0.17612152860194635,0.7676240208877285,0.02123809853034134,0.09360409312366891,False,,False,2000,20260903,20,4213
same,count,72.0,0.0,0.23237597911227154,0.7676240208877285,0.0,0.0,False,,False,2000,20260903,20,4213
same,count,167.2878133255,0.0,0.23237597911227154,0.7676240208877285,0.0,0.0,True,duration p75 (E),True,2000,20260903,20,4213
same,energy,0.5,0.12800318642177919,0.03422791723738858,0.8377688963408323,0.04955846303348896,0.2295320769020326,False,,False,2000,20260903,20,4213
same,energy,0.5679533066,0.12224205242034034,0.03998905123882743,0.8377688963408323,0.04458650443725952,0.2232965625804742,False,,False,2000,20260903,20,4213
same,energy,0.645141917,0.12224205242034034,0.03998905123882743,0.8377688963408323,0.04458650443725952,0.2232965625804742,False,,False,2000,20260903,20,4213
same,energy,0.73282097,0.1213042613627818,0.04092684229638596,0.8377688963408323,0.04445973107525411,0.22201506958436637,False,,False,2000,20260903,20,4213
same,energy,0.8324161861,0.12116022517730285,0.041070878481864914,0.8377688963408323,0.04415270700723922,0.22183661371931382,False,,False,2000,20260903,20,4213
same,energy,0.9455470507,0.12100244123424277,0.041228662424925,0.8377688963408323,0.04396914230980093,0.221328221305598,False,,False,2000,20260903,20,4213
same,energy,1.074053148,0.12094968006119972,0.04128142359796805,0.8377688963408323,0.04389153492248824,0.2212377951757959,False,,False,2000,20260903,20,4213
same,energy,1.2200240738,0.12094968006119972,0.04128142359796805,0.8377688963408323,0.04389153492248824,0.2212377951757959,False,,False,2000,20260903,20,4213
same,energy,1.3858334137,0.12090731131908235,0.041323792340085416,0.8377688963408323,0.043852631388933444,0.2211832345485414,False,,False,2000,20260903,20,4213
same,energy,1.5741773394,0.12090183886066172,0.041329264798506044,0.8377688963408323,0.04385215833135059,0.22118207949489183,False,,False,2000,20260903,20,4213
same,energy,1.7881184502,0.1029093319052107,0.05932177175395706,0.8377688963408323,0.037362893717449205,0.1953041811488876,False,,False,2000,20260903,20,4213
same,energy,2.0311355728,0.09448722964665084,0.06774387401251693,0.8377688963408323,0.03316648500667896,0.18744536927026584,False,,False,2000,20260903,20,4213
same,energy,2.3071803295,0.09380815096256669,0.06842295269660108,0.8377688963408323,0.03211230900080844,0.1864935269284009,False,,False,2000,20260903,20,4213
same,energy,2.6207413942,0.08675537612795588,0.07547572753121189,0.8377688963408323,0.030080214290250262,0.17509081792532746,False,,False,2000,20260903,20,4213
same,energy,2.9769174812,0.08131979196700298,0.08091131169216478,0.8377688963408323,0.02531654090230825,0.17026293918668547,False,,False,2000,20260903,20,4213
same,energy,3.3815002539,0.0800401877950878,0.08219091586407996,0.8377688963408323,0.022874664222173834,0.1689555352176196,False,,False,2000,20260903,20,4213
same,energy,3.841068501,0.0769826567813744,0.08524844687779336,0.8377688963408323,0.02043221126916164,0.165013703053752,False,,False,2000,20260903,20,4213
same,energy,4.3630951121,0.07658464523234214,0.08564645842682563,0.8377688963408323,0.020294894173394085,0.16482901908438075,False,,False,2000,20260903,20,4213
same,energy,4.956068592,0.0762757965560776,0.08595530710309017,0.8377688963408323,0.020294894173394085,0.16463288815370536,False,,False,2000,20260903,20,4213
same,energy,5.6296310892,0.07580101442003313,0.08643008923913463,0.8377688963408323,0.019993842790814294,0.16434791737561955,False,,False,2000,20260903,20,4213
same,energy,6.0,0.07528169493855308,0.08694940872061468,0.8377688963408323,0.019446748087201673,0.16308783586580028,True,T_act primary,False,2000,20260903,20,4213
same,energy,6.3947351842,0.07527339250385834,0.08695771115530943,0.8377688963408323,0.019446748087201673,0.16305884216888797,False,,False,2000,20260903,20,4213
same,energy,7.2638219855,0.07406536903342302,0.08816573462574474,0.8377688963408323,0.017152224942274467,0.1630018686011109,False,,False,2000,20260903,20,4213
same,energy,8.2510234306,0.07320830788949864,0.08902279576966912,0.8377688963408323,0.016892795183116142,0.1613768227152293,False,,False,2000,20260903,20,4213
same,energy,9.3723920806,0.07268810879242645,0.08954299486674132,0.8377688963408323,0.016354955721296527,0.16042325431987292,False,,False,2000,20260903,20,4213
same,energy,10.646162146,0.07268043958471056,0.0895506640744572,0.8377688963408323,0.01635461059326042,0.16042092772120434,False,,False,2000,20260903,20,4213
same,energy,12.0930459871,0.06883920522834688,0.09339189843082088,0.8377688963408323,0.013647363538967231,0.15688430113948115,False,,False,2000,20260903,20,4213
same,energy,13.7365709106,0.06652163046777983,0.09570947319138794,0.8377688963408323,0.012036001763923056,0.15485941955813073,False,,False,2000,20260903,20,4213
same,energy,15.6034617403,0.06628201121954302,0.09594909243962474,0.8377688963408323,0.01200329280670815,0.15425200327377167,False,,False,2000,20260903,20,4213
same,energy,17.3964992039,0.06619967626104033,0.09603142739812744,0.8377688963408323,0.011855642500560856,0.15424970085522566,True,duration p25 (E),False,2000,20260903,20,4213
same,energy,17.7240753799,0.06619967626104033,0.09603142739812744,0.8377688963408323,0.011855642500560856,0.15424970085522566,False,,False,2000,20260903,20,4213
same,energy,20.1328944372,0.06006578153574308,0.10216532212342469,0.8377688963408323,0.009511280449084305,0.14588752109395708,False,,False,2000,20260903,20,4213
same,energy,22.8690879345,0.032563078397525314,0.12966802526164245,0.8377688963408323,0.007006393995598742,0.0905004415929057,False,,False,2000,20260903,20,4213
same,energy,25.9771482231,0.032511976370824064,0.1297191272883437,0.8377688963408323,0.006988582520706744,0.09044057273470757,False,,False,2000,20260903,20,4213
same,energy,29.5076144591,0.026566031971332008,0.13566507168783576,0.8377688963408323,0.004554620166547895,0.08061689570098193,False,,False,2000,20260903,20,4213
same,energy,33.5178944044,0.026138322490122375,0.13609278116904538,0.8377688963408323,0.00404933268209035,0.07961364241019027,False,,False,2000,20260903,20,4213
same,energy,38.0731979151,0.02379246349813902,0.13843864016102875,0.8377688963408323,0.0026392772275788774,0.07769079708382964,False,,False,2000,20260903,20,4213
same,energy,43.2475972981,0.02298658368746628,0.13924451997170148,0.8377688963408323,0.002029193862216691,0.07628642853209128,False,,False,2000,20260903,20,4213
same,energy,49.1252317767,0.022343444333041553,0.1398876593261262,0.8377688963408323,0.0015441424321321682,0.07527321178750955,False,,False,2000,20260903,20,4213
same,energy,52.9437801474,0.008620599464544505,0.15361050419462327,0.8377688963408323,0.0007425008650302782,0.022754513436284783,True,duration p50 (E),False,2000,20260903,20,4213
same,energy,55.801675651,0.008253642149812774,0.15397746150935498,0.8377688963408323,0.0004806650309709091,0.022529588262366004,False,,False,2000,20260903,20,4213
same,energy,63.3854924007,0.007928710528291437,0.15430239313087632,0.8377688963408323,0.0003545623654018027,0.0222131552594819,False,,False,2000,20260903,20,4213
same,energy,72.0,0.0,0.16223110365916776,0.8377688963408323,0.0,0.0,False,,False,2000,20260903,20,4213
same,energy,167.2878133255,0.0,0.16223110365916776,0.8377688963408323,0.0,0.0,True,duration p75 (E),True,2000,20260903,20,4213
