population,rule,hours_before_lo,hours_before_hi,n_warnings,n_anchors,rate_per_anchor_hour
controls_of_warned,any,34,35,14,2633,0.005317128750474744
controls_of_warned,any,35,36,10,2633,0.0037979491074819596
controls_of_warned,any,36,37,3,2633,0.001139384732244588
controls_of_warned,any,37,38,9,2633,0.003418154196733764
controls_of_warned,any,38,39,3,2633,0.001139384732244588
controls_of_warned,any,39,40,4,2633,0.0015191796429927839
controls_of_warned,any,40,41,11,2633,0.004177744018230156
controls_of_warned,any,41,42,5,2633,0.0018989745537409798
controls_of_warned,any,42,43,6,2633,0.002278769464489176
controls_of_warned,any,43,44,3,2633,0.001139384732244588
controls_of_warned,any,44,45,14,2633,0.005317128750474744
controls_of_warned,any,45,46,8,2633,0.0030383592859855677
controls_of_warned,any,46,47,10,2633,0.0037979491074819596
controls_of_warned,any,47,48,8,2633,0.0030383592859855677
controls_of_warned,any,48,49,14,2633,0.005317128750474744
controls_of_warned,any,49,50,43,2633,0.01633118116217243
controls_of_warned,any,50,51,70,2633,0.026585643752373718
controls_of_warned,any,51,52,40,2633,0.015191796429927839
controls_of_warned,any,52,53,86,2633,0.03266236232434486
controls_of_warned,any,53,54,29,2633,0.011014052411697683
controls_of_warned,any,54,55,29,2633,0.011014052411697683
controls_of_warned,any,55,56,53,2633,0.020129130269654388
controls_of_warned,any,56,57,17,2633,0.006456513482719331
controls_of_warned,any,57,58,6,2633,0.002278769464489176
controls_of_warned,any,58,59,6,2633,0.002278769464489176
controls_of_warned,any,59,60,10,2633,0.0037979491074819596
controls_of_warned,any,60,61,3,2633,0.001139384732244588
controls_of_warned,any,61,62,5,2633,0.0018989745537409798
controls_of_warned,any,62,63,5,2633,0.0018989745537409798
controls_of_warned,any,63,64,14,2633,0.005317128750474744
controls_of_warned,any,64,65,36,2633,0.013672616786935056
controls_of_warned,any,65,66,29,2633,0.011014052411697683
controls_of_warned,any,66,67,21,2633,0.007975693125712115
controls_of_warned,any,67,68,28,2633,0.010634257500949488
controls_of_warned,any,68,69,9,2633,0.003418154196733764
controls_of_warned,any,69,70,9,2633,0.003418154196733764
controls_of_warned,any,70,71,5,2633,0.0018989745537409798
controls_of_warned,any,71,72,14,2633,0.005317128750474744
events_all,any,0,1,5457,4213,1.2952765250415381
events_all,any,1,2,1956,4213,0.46427723712319013
events_all,any,2,3,1308,4213,0.31046760028483267
events_all,any,3,4,974,4213,0.23118917635888916
events_all,any,4,5,1022,4213,0.24258248279136008
events_all,any,5,6,751,4213,0.17825777355803465
events_all,any,6,7,679,4213,0.16116781390932827
events_all,any,7,8,602,4213,0.1428910515072395
events_all,any,8,9,659,4213,0.1564206028957987
events_all,any,9,10,468,4213,0.1110847377165915
events_all,any,10,11,437,4213,0.10372656064562069
events_all,any,11,12,335,4213,0.07951578447661999
events_all,any,12,13,392,4213,0.09304533586517921
events_all,any,13,14,341,4213,0.08093994778067885
events_all,any,14,15,376,4213,0.08924756705435556
events_all,any,15,16,370,4213,0.0878234037502967
