population,tier,tier_variant,sub_pop,rule,lookback_h,T_act_h,weight,control_offset_d,n_events,E_mwh,unwarned,short_lead,actionable_unacted,warned,n_controls_matched,p_control_warned,p_control_actionable,excess_warned,excess_actionable,enrichment_warned_x
all,T2,primary,all,same,72,6,count,60,4213,9386.501584975991,0.7676240208877284,0.06669831474009019,0.16567766437218134,0.23237597911227154,4174,0.005510301868711069,0.004791566842357451,0.2281227021957652,0.1616607056065202,42.17118855715745
all,T1_narrow,sensitivity,all,same,24,6,energy,45,4635,11957.333359697524,0.885192467707265,0.07052263994828627,0.044284892344448636,0.11480753229273492,4602,0.00046170615592007404,0.0003664642220974751,0.11439864469529959,0.04393452855518135,248.65930596907452
all,T1_narrow,sensitivity,all,same,24,6,count,45,4635,11957.333359697524,0.7961165048543689,0.10679611650485436,0.0970873786407767,0.20388349514563106,4602,0.001303780964797914,0.000869187309865276,0.2028441785596593,0.09630189571658425,156.37864077669903
all,T1_narrow,sensitivity,all,same,48,6,energy,45,4635,11957.333359697524,0.883965821301939,0.06864287133416305,0.047391307363897885,0.11603417869806094,4602,0.0007683955971455029,0.000673153663322904,0.11535442093006937,0.04674962338081274,151.00838569236203
all,T1_narrow,sensitivity,all,same,48,6,count,45,4635,11957.333359697524,0.7909385113268609,0.0761596548004315,0.13290183387270765,0.20906148867313915,4602,0.002824858757062147,0.0023902651021295088,0.20682086966088176,0.13082427346595527,74.00776699029126
all,T1_narrow,sensitivity,all,same,72,1,energy,45,4635,11957.333359697524,0.8726486528541759,0.032364482410632375,0.09498686473519173,0.12735134714582408,4602,0.006747581335468535,0.006652339401645936,0.12142307790451921,0.08892609187838275,18.87362905525927
all,T1_narrow,sensitivity,all,same,72,1,count,45,4635,11957.333359697524,0.7887810140237325,0.040560949298813376,0.17065803667745416,0.21121898597626754,4602,0.006736201651455889,0.00651890482398957,0.20586956321653538,0.16521616027769992,31.35579914396075
all,T1_narrow,sensitivity,all,same,72,6,energy,45,4635,11957.333359697524,0.8726486528541759,0.0682552487429706,0.059096098402853486,0.12735134714582408,4602,0.006747581335468535,0.0066523394016459346,0.12142307790451921,0.052794969054054515,18.87362905525927
all,T1_narrow,sensitivity,all,same,72,6,count,45,4635,11957.333359697524,0.7887810140237325,0.060625674217907224,0.1505933117583603,0.21121898597626754,4602,0.006736201651455889,0.006301607996523251,0.20586956321653538,0.14520673971396766,31.35579914396075
all,T1_narrow,sensitivity,all,same,72,24,energy,45,4635,11957.333359697524,0.8726486528541759,0.10178934449895627,0.02556200264686781,0.12735134714582408,4602,0.006747581335468535,0.006285875179548459,0.12142307790451921,0.01939806125911941,18.87362905525927
all,T1_narrow,sensitivity,all,same,72,24,count,45,4635,11957.333359697524,0.7887810140237325,0.08176914778856527,0.12944983818770225,0.21121898597626754,4602,0.006736201651455889,0.005432420686657975,0.20586956321653538,0.12469481217824029,31.35579914396075
all,T1_narrow,sensitivity,all,any,72,6,energy,45,4635,11957.333359697524,0.5500696980406553,0.11115444511735703,0.3387758568419877,0.4499303019593447,4602,0.1377213197549254,0.1348178342821917,0.36207433786451043,0.23573997551207018,3.2669618818639994
all,T1_narrow,sensitivity,all,any,72,6,count,45,4635,11957.333359697524,0.39568500539374324,0.1831715210355987,0.421143473570658,0.6043149946062567,4602,0.18622338113863537,0.1738374619730552,0.5137670507818407,0.2993430471783714,3.2451080573838897
